Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
WC3_2	WC3_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	34877429.0	0.0	151.0	52.0	19.654445377290166	151.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	pass	warn
WC4_1	WC4_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	39387899.0	0.0	151.0	52.0	19.66246432911851	151.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	pass	warn
WC4_2	WC4_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	39387899.0	0.0	151.0	52.0	20.776263040150194	151.0	pass	pass	pass	pass	warn	fail	pass	pass	fail	pass	warn
WC5_1	WC5_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	53584258.0	0.0	151.0	53.0	16.091109791013114	151.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	pass	warn
WC5_2	WC5_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	53584258.0	0.0	151.0	53.0	17.72737688142426	151.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	pass	warn
WH1_1	WH1_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	28958124.0	0.0	151.0	52.0	24.365919372416002	151.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	pass	warn
WH1_2	WH1_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	28958124.0	0.0	151.0	52.0	24.969066360515686	151.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	pass	warn
WH2_1	WH2_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	38689604.0	0.0	151.0	53.0	21.47725461263597	151.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	pass	warn
WH2_2	WH2_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	38689604.0	0.0	151.0	53.0	22.590035787752004	151.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	pass	warn
WH3_1	WH3_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	27625557.0	0.0	151.0	53.0	25.411801250524118	151.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	pass	warn
WH3_2	WH3_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	27625557.0	0.0	151.0	53.0	25.676913884325682	151.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	pass	warn
